date,s378,s379,s380,s381,s433,s434,s593,s594
12/19/2016 7:00:00,0.00216089,0.004438662,-0.000571671,0.008184462,-0.02140419,-5.01E-05,0.002755836,0.007541342
12/26/2016 7:00:00,0.012187192,0.021055691,0.008959023,0.055195501,0.047985785,0,0.017100058,0.005468362
1/2/2017 7:00:00,0.017293412,0.00728359,0.023512621,0.029542225,-0.002939641,0.118491942,0.010555247,-0.035163121
1/9/2017 7:00:00,-0.000894203,-0.016099707,-0.003923252,-0.064241312,0,-0.008318502,-0.012852463,-0.009429375
1/16/2017 7:00:00,-0.000149765,0.002072718,-0.013080778,0.00301293,-0.088052999,-0.091228578,-0.000505703,0.002186269
1/23/2017 7:00:00,0.005978008,-0.000852405,0.008151719,-0.011127032,0.070485117,-0.002676324,-0.002135755,-0.003806368
1/30/2017 7:00:00,0.000212354,0.004377152,-0.00085356,0.008051539,-0.002922298,-0.00040979,0.008778067,-0.001979853
2/6/2017 7:00:00,0.00266966,-0.007448139,0.002270391,-0.029411217,0.044383496,0.029020511,0.008680396,-0.008336427
2/13/2017 7:00:00,-0.004291229,0.004947223,-0.00845098,0.017571471,-0.001759511,-0.045233937,-0.003920549,-0.014704545
2/20/2017 7:00:00,0.001790499,0.000866031,0.003373204,0.00407741,0,0.010863032,0.011272096,0.001767495
2/27/2017 7:00:00,0.001393499,0.014983553,0.007322817,0.026925462,0.11260902,0.109427329,0.004912995,-0.024024936
3/6/2017 7:00:00,0.009584493,-0.005278015,0.015210361,-0.019458287,0.045392855,0.08544423,0.003406655,-0.019530679
3/13/2017 8:00:00,0.005677596,0.05303078,0.015943791,0.105661278,-0.028997686,0.359460885,0.000768363,-0.05133108
3/20/2017 8:00:00,0.019358147,0.002545421,0.017733859,0.011109806,-0.141035404,-0.004132912,-0.010528064,-0.046992096
3/27/2017 8:00:00,-0.001961022,0.018422065,-0.003743728,0.038761639,-0.000812536,0.104109572,-0.007066369,-0.018853708
4/3/2017 8:00:00,0.026516931,0.0053297,0.027944887,0.028647888,0.148627105,-0.001289607,0.010981198,0.010937742
4/10/2017 8:00:00,0.001885721,0.006588522,0.006697635,0.011905403,0.03771139,0.071425872,0.007616674,0.000391419
4/17/2017 8:00:00,0.001089003,0.00758653,0.00567935,-0.001863585,0.08407192,0.110806534,0.002166386,-0.019451719
4/24/2017 8:00:00,0.018386272,0.026929561,0.018695974,0.083153205,-0.002223074,-0.001179399,0.008097917,-0.003073078
5/1/2017 8:00:00,0.022085694,0.031786057,0.031096364,0.127447243,0.01407595,0.193210176,0.013343177,-0.052653576
5/8/2017 8:00:00,0.018195901,0.001992642,0.017027986,0.00809096,-9.52E-05,0.141622545,0.01251651,-0.008700317
5/15/2017 8:00:00,-0.005122355,0.002576907,-0.003909732,0.002226268,0.010664233,-0.044719498,0.001234202,-0.000230705
5/22/2017 8:00:00,0.040328662,0.059709946,0.040622834,0.154881969,0.060500767,0.211042945,0.025564894,-0.120635444
5/29/2017 8:00:00,0.013270835,0.006298623,0.020605991,0.028123844,0.089243785,0.123819904,-0.004863912,-0.01913972
6/5/2017 8:00:00,-0.000465172,0.021262029,0.018121718,0.070361565,0.166456027,0.216078352,0.032205889,-0.016027796
6/12/2017 8:00:00,0.013164666,0.005101963,0.015564824,0.020537599,0.002315309,0.205621109,-0.004956325,-0.044206037
