,BTC,ETH,ADA,LTC,XRP,DOGE,DOT,SOL,UNI,LUNA
2/06/21,0.024650288,0.027803099,0.011067558,0.023348644,0.013861386,0.143617021,0.140714756,0.096474535,0.007661437,0.088134409
3/06/21,0.043883226,0.055321508,0.050855188,0.032540743,0.020410156,-0.053240467,0.037133851,0.161057834,0.034503983,0.119830128
4/06/21,-0.060725029,-0.057323949,-0.073567708,-0.076019458,-0.071767633,-0.060473815,-0.073165308,-0.050824698,-0.077030763,-0.167072837
5/06/21,0,0,-0.027875381,-0.030691683,-0.048643689,-0.014173855,-0.04970807,0.059258468,-0.029463067,-0.054167384
6/06/21,-0.028878515,0.006723626,0.009698795,0.018316288,0.025348694,8.07733E-05,0.016874974,0.064788448,0.009572182,0.032737258
7/06/21,-0.061710453,-0.043814741,-0.066941113,-0.081252837,-0.088191773,-0.106585182,-0.102135408,-0.093292943,-0.064047988,-0.103860324
8/06/21,0,0,0,0,0,0,0,0,0,0
9/06/21,0.113070416,0.006870715,0.038301682,0.065093874,0.067568507,0.034563809,0.066463864,0.095688035,0.035517883,0.072748722
10/06/21,0,0,0,0,0,0,0,0,0,0
11/06/21,0,0,0,0,0,0,0,0,0,0
12/06/21,0,0,0,0,0,0,0,0,0,0
13/06/21,0,0,0,0,0,0,0,0,0,0
14/06/21,0.066045815,-0.01793975,-0.04236975,0.011944799,-0.021347058,-0.044506583,-0.010718299,-0.063080661,-0.048754193,0.010897094
15/06/21,0.00755598,-0.008099752,0.00192926,0.005901902,-0.03913193,-0.024112913,0.046526868,0.006407323,-0.0160769,0.085396407
16/06/21,-0.044622169,-0.06881492,-0.048587933,-0.05103959,-0.040217542,-0.03867179,-0.039073262,0.000783184,-0.069325939,-0.063795538
17/06/21,-0.007119387,0.002239405,-0.00074209,0.001320607,0.011621612,-0.006011373,-0.0230679,-0.009390857,0.017098327,-0.001784266
18/06/21,-0.058519161,-0.05796796,-0.045031056,-0.06282597,-0.053135443,-0.041157241,-0.049581999,-0.063912744,-0.082026321,-0.032645434
19/06/21,-0.007671921,-0.029268293,-0.017037823,-0.022644406,-0.045453975,-0.024820156,-0.051934684,-0.038031198,-0.027199529,-0.034990173
20/06/21,0.001714928,0.03583906,0.028552934,0.014856993,0.01975,-0.017480684,0.02003652,0.000169799,0.048904815,0.025396881
21/06/21,-0.109584707,-0.157511424,-0.177190406,0,-0.215235932,0,-0.237215153,0,-0.238031083,-0.176430645
22/06/21,0.026653292,-0.005988461,-0.015212034,-0.226944409,-0.098832621,-0.322207593,-0.06767728,-0.236291098,0.03801465,-0.024652678
23/06/21,0.03435466,0.047152883,0.079219883,0,0,0,0,0,0,0
24/06/21,0.028909798,0.010139016,0.081960659,0.123216818,0.22872156,0.386234775,0.104632968,0.15531103,0.094476214,0.156430957
25/06/21,0,0,0,0,0,0,0,0,0,0
26/06/21,0,0,0,0,0,0,0,0,0,0
27/06/21,0,0,0,0,0,0,0,0,0,0
28/06/21,0,0,0,0,0,0,0,0,0,0
29/06/21,0.036273401,0,0.014485256,0.071078431,0,-0.002272297,0.001601281,0.087323221,0,0.100749269
30/06/21,0,0,0,0,0,0,0,0,0,0
1/07/21,0,0,0,0,0,0,0,0,0,0
2/07/21,-0.058637964,0.083354268,0.017046696,-0.050204563,-0.025064964,-0.068058455,-0.057430978,0.003185277,0.01311767,-0.048412
3/07/21,0.025609179,0.032881922,0.007664207,0.024019858,0.026470902,0.00329912,0.013177637,0.014229435,0.070335217,0.013503847
4/07/21,0.01712704,0.042805677,0.03866932,0.032796236,0.033014319,0.001055495,0.029103084,-0.00536263,0.063765442,0.028179925
5/07/21,-0.045459619,-0.054781629,-0.039214344,-0.049496065,-0.063157139,-0.064438947,-0.044484765,-0.039809985,-0.032669975,0.008722877
6/07/21,0.017303016,0.058533969,0.011752974,0.008787857,0,0.016428262,0.05683604,0,0,0.084864479
7/07/21,-0.010684572,-0.002926367,-0.011053224,-0.010151188,0.000291308,-0.042858971,0.044795539,0.110875042,0.108742217,0.08367247
8/07/21,-0.030452359,-0.088178169,-0.055100733,-0.038402793,-0.047929248,-0.079754055,-0.091680009,-0.093142077,-0.086081409,-0.057446598
9/07/21,0.027756642,0.014531856,0.01642432,0.016488919,0.024631731,0.061150382,0.022328132,0.002591064,0.030085537,0.213474731
10/07/21,-0.007816955,-0.015536789,-0.010154918,-0.00252995,-0.018131825,-0.026007209,-0.023820167,-0.046578718,-0.034265534,-0.023835386
11/07/21,0.022055518,0.014028436,0.009360491,0.002088773,0.018002592,0.012039162,0.012495094,0.014624768,0.020162087,0.064539787
